Name,P,I,H,D,T,O,S
gAAAAABeSk1Hre-RmQum7kUlwoNv7UDcYpHAeDm3X0sszDHA3b_EvO0tyh8v413wNOprIbHFEa2UflMTWVf6y-EppxLE_MXZLw==,1,0,0,0,0,0,0
gAAAAABeSk1H3SVCxnJX7qKYodmMp9N3TB79UyleOTbfyq4VkFzcEZrOjts59pacqbnauiG9giN-b3yfFP7ytx7bnpyu2IPCUA==,1,0,0,0,0,0,0
gAAAAABeSk1HqObcY4wzd00vu1B6IN6qF96C3ZCUprLs_DU27o1gVTk-BaIVL7ZBjlrtKEWIY5CShHsByGPB8oW_bW3_jw5j5w==,1,0,0,0,0,0,0
gAAAAABeSk1HqiuvF6zjzFqaQHbSkdbkSiaPcLilSmuxBwQvqhR4OSX3Mbn4UtxTY0veopmjnvY7xWR0NdMIMeXXt4p1eMWc5g==,1,0,0,0,0,0,0
gAAAAABeSk1H_DQww64EzVIZKUzvOYRFHY7dVE_VzE4Py2l3bNKXEbBNc5stwmXZACBLjEytw_LlcuzZBXUpIREEx4RabJ3Ljw==,1,0,0,0,0,0,0
gAAAAABeSk1H6PB7FqgIzexD7KVGdztPVSq2CeRjVySRsi9RHb9HSfjeHuQV8HL4kavgNQoDLkdyUqjGHBmxJAgPObZDChRwBQ==,1,0,0,0,0,0,0
gAAAAABeSk1H5b5B26e7-vIU8pL67dYTrBPVnv6Ynmx_oA5unU4BS8RvSC-Gf0gkfqbEmcxW39iCBsX9DZG0xRwqvZe9ypqSpg==,1,0,0,0,0,0,0
gAAAAABeSk1HVa3RFtNsW7_I9NgUzoeU5GWN_5dGSrHuRJxh0ENA7InUcuWdgnLt5wisth4xXJp_jSkhdPS5DDaymul3vRBWNQ==,1,0,0,0,0,0,0
gAAAAABeSk1HcOXhAvH-WoLZtF9CJbHxLqT1_Sf6fhQrLh1OElG0whxFGNI1nFMAX3EZE5ivhM7izz0oFoUaU66cGcDech6iKw==,1,0,0,0,0,0,0
gAAAAABeSk1HUygv6s8m-fRef3UxprdfbIA4SiU9kAj37es8fHORii-kA0wTi_QvH3GmYvd3xq7_fBnTASJ6kcfkUVO_MUSr4g==,1,0,0,0,0,0,0
gAAAAABeSk1H-x68ffGb7Pdl8X0fnB7Tp5LOYkREnkMSBoYd1SRA3RZVHjtFi-jtRRmfmz6yTNiQflcEGd3Wr4kymZ9cp8KN9A==,1,0,0,0,0,0,0
gAAAAABeSk1HxnDsskLZ5Q3udLncxgLY28t1IaL071e2OtgaLdZqVFT3yYnIxXhAbOJN61SeIB6sg1s-cE9voJnGoFQcXtM_AQ==,1,0,0,0,0,0,0
gAAAAABeSk1HhBjhqzdc3RjAZAwkhkid-7i-ObiiBkastA2Ki-jL3mxQTtw2yGtSQESxv2yhWxonC2JOwnvS7PakJgBdHNjfJw==,1,0,0,0,0,0,0
gAAAAABeSk1HVQa4r3L_Rbi62vef9XFt8DediD7dpM0nEOeJf8LAQHL5Hix8z0OLostl3EFw_IZifEQ8E6jKjX1ErZVBRnfozQ==,1,0,0,0,0,0,0
gAAAAABeSk1HQzZwea-LDhp5s3XEi_tJNbgjpU0KF8uFiDUSK4ZhRGffjE0G3QiXqkUwsSjQO9hMUxclKdydyttId4fmUm4frQ==,1,0,0,0,0,0,0
gAAAAABeSk1Hdc9wwXqt7UiOioYzE-jzZ6qtN7GRokVeFafR1pQORPCu0HZuZpEA9nAp4pPDRDmxUHKsLr166bxvsQWgsGFpqg==,1,0,0,0,0,0,0
gAAAAABeSk1HNTY74cuizozXRCiknshOYLplw6U9MESiNJoxSZMDFPw7-s1MPnh_UCKaiHYpUYOqxWuMwRa5dhLnoJfowzuJxg==,0,0,0,0,1,0,0
